Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
10,1,4,4,no,yes,testing,system designing,very good,excellent,hacking,Systems Analysis,SAaS services,yes,Travel,Technical,smart,yes,yes,Software Quality Assurance (QA) / Testing
4,2,9,2,no,no,app development,game development,excellent,very good,Management,DevOps,Product based,yes,Travel,Technical,hard,no,yes,UX Designer
10,8,4,1,yes,no,full stack,web technologies,very good,excellent,Software Engineering,Web Development,Big Data Companies,no,Health,Technical,hard,yes,yes,Web Developer
1,1,4,9,no,yes,shell programming,database security,medium,very good,programming,Big Data Analytics,Blockchain Technology Firms,yes,Poetry,Technical,hard,yes,no,Database Developer
7,6,9,6,no,yes,testing,testing,excellent,very good,hacking,Blockchain Development,Software Development Firms,no,Journals,Technical,smart,yes,no,Software Quality Assurance (QA) / Testing
2,3,5,9,yes,yes,information security,database security,poor,good,programming,Systems Analysis,AI Research Labs,no,Dictionaries,Technical,hard,no,no,Network Security Engineer
7,7,8,10,no,yes,app development,web technologies,excellent,poor,networks,Machine Learning,Sales and Marketing,no,Self help,Management,hard,no,no,Applications Developer
7,2,4,6,yes,no,information security,testing,excellent,poor,Software Engineering,Systems Analysis,Big Data Companies,yes,Fantasy,Management,smart,no,yes,Technical Support
4,1,9,1,yes,yes,shell programming,database security,medium,excellent,parallel computing,Cloud Computing,Web Services,no,Travel,Technical,smart,no,no,Database Developer
5,7,5,2,yes,yes,shell programming,data science,very good,poor,IOT,Blockchain Development,SAaS services,no,Drama,Technical,hard,yes,no,CRM Technical Developer
7,5,6,4,no,no,full stack,game development,excellent,excellent,parallel computing,Blockchain Development,AI Research Labs,no,Mystery,Technical,smart,no,yes,Mobile Applications Developer
5,0,6,2,yes,yes,shell programming,database security,good,poor,networks,IoT Solutions,Cybersecurity Firms,no,Series,Technical,smart,no,yes,Database Developer
10,5,8,9,no,no,app development,cloud computing,poor,good,parallel computing,Data Science,Web Services,no,Art,Technical,smart,no,yes,UX Designer
1,7,6,6,yes,no,full stack,web technologies,very good,poor,Software Engineering,Big Data Analytics,Sales and Marketing,no,Mystery,Management,hard,yes,yes,Web Developer
2,0,6,6,no,no,full stack,web technologies,good,excellent,IOT,Robotics,Product based,no,Art,Management,hard,no,no,Software Engineer
1,4,5,7,yes,yes,shell programming,data science,poor,very good,IOT,Cybersecurity,Finance,yes,Guide,Management,hard,yes,yes,Database Developer
1,9,6,9,no,no,shell programming,data science,very good,very good,IOT,IoT Solutions,Data Science Firms,no,Series,Technical,smart,yes,yes,Database Developer
6,6,4,1,yes,no,python,data science,good,good,parallel computing,Software Development,Testing and Maintainance Services,yes,Comics,Technical,smart,no,no,CRM Technical Developer
2,6,1,10,yes,yes,full stack,system designing,good,poor,Management,DevOps,Data Science Firms,yes,Guide,Technical,hard,no,no,Software Engineer
10,1,4,10,no,yes,full stack,web technologies,poor,poor,Management,Systems Analysis,Blockchain Technology Firms,yes,Cookbooks,Technical,smart,yes,no,Web Developer
6,3,3,7,yes,yes,shell programming,data science,good,good,data engineering,Quantum Computing,BPA,yes,Travel,Technical,hard,yes,no,Database Developer
8,10,10,9,no,yes,testing,system designing,very good,poor,IOT,Blockchain Development,Data Science Firms,no,Comics,Management,hard,no,no,Software Quality Assurance (QA) / Testing
1,4,3,2,no,yes,full stack,game development,poor,excellent,cloud computing,Blockchain Development,SAaS services,no,Biographies,Management,smart,yes,no,Mobile Applications Developer
3,1,5,2,no,yes,information security,database security,medium,excellent,IOT,AI Research,Finance,yes,Action and Adventure,Management,smart,yes,no,Systems Security Administrator
3,3,9,9,no,no,app development,game development,medium,poor,programming,Big Data Analytics,product development,no,Science,Management,hard,yes,no,Mobile Applications Developer
3,3,8,7,yes,no,r programming,system designing,poor,very good,IOT,Systems Analysis,Web Services,no,Math,Management,hard,no,no,Software Engineer
4,3,3,6,yes,no,shell programming,system designing,medium,very good,Software Engineering,Machine Learning,Software Development Firms,yes,Biographies,Management,smart,yes,yes,CRM Technical Developer
5,8,10,10,no,no,python,data science,medium,poor,IOT,Machine Learning,BPA,yes,Science,Management,hard,yes,no,CRM Technical Developer
9,0,5,8,yes,no,app development,cloud computing,medium,poor,Management,Cloud Computing,Cloud Services,no,Action and Adventure,Management,hard,no,yes,UX Designer
10,6,2,2,yes,yes,full stack,web technologies,excellent,poor,hacking,IoT Solutions,Testing and Maintainance Services,no,Cookbooks,Management,smart,yes,no,Software Engineer
8,1,7,9,no,yes,app development,game development,medium,poor,Management,IoT Solutions,Software Development Firms,yes,Cookbooks,Technical,hard,yes,yes,UX Designer
10,1,6,10,no,no,shell programming,system designing,good,poor,hacking,IoT Solutions,Cloud Services,no,Self help,Management,hard,yes,no,CRM Technical Developer
1,8,2,3,no,yes,app development,web technologies,very good,poor,parallel computing,Big Data Analytics,Sales and Marketing,yes,Childrens,Management,smart,yes,no,Applications Developer
5,2,1,4,no,yes,shell programming,system designing,excellent,very good,Management,Cloud Computing,Software Development Firms,yes,Dictionaries,Technical,hard,no,yes,CRM Technical Developer
2,2,6,9,yes,no,information security,testing,poor,very good,programming,Data Science,Product based,yes,Guide,Management,smart,yes,yes,Technical Support
4,4,9,10,no,yes,full stack,web technologies,very good,poor,networks,Cloud Computing,IoT Startups,no,Science fiction,Technical,smart,yes,no,Web Developer
1,9,9,1,no,yes,app development,game development,very good,very good,Software Engineering,Web Development,Data Science Firms,no,Childrens,Management,smart,no,yes,UX Designer
2,8,1,1,no,yes,testing,system designing,very good,poor,Management,IoT Solutions,BPA,yes,Travel,Technical,smart,no,yes,Software Quality Assurance (QA) / Testing
9,6,9,4,no,yes,information security,database security,medium,excellent,hacking,IoT Solutions,Product based,no,Art,Technical,smart,yes,no,Systems Security Administrator
1,9,9,4,yes,yes,app development,web technologies,medium,good,cloud computing,AI Research,IoT Startups,yes,Science fiction,Management,hard,yes,no,Applications Developer
9,5,1,6,yes,no,full stack,web technologies,medium,good,cloud computing,Software Development,Service Based,yes,Self help,Technical,smart,yes,yes,Software Engineer
6,9,9,6,no,no,shell programming,data science,very good,good,data engineering,Cloud Computing,Sales and Marketing,yes,History,Technical,smart,no,yes,CRM Technical Developer
5,7,10,6,no,yes,python,system designing,medium,very good,Computer Architecture,Software Development,Data Science Firms,no,Autobiographies,Technical,smart,no,yes,Software Developer
10,10,1,4,no,no,app development,cloud computing,very good,very good,Software Engineering,AI Research,IoT Startups,no,Comics,Management,smart,yes,yes,UX Designer
4,5,6,6,no,no,testing,system designing,good,very good,data engineering,Machine Learning,IoT Startups,yes,Art,Technical,smart,no,yes,Software Quality Assurance (QA) / Testing
1,5,7,5,yes,yes,shell programming,system designing,very good,good,data engineering,Machine Learning,Testing and Maintainance Services,yes,Self help,Management,hard,no,yes,CRM Technical Developer
2,5,5,5,no,yes,shell programming,database security,good,poor,Management,DevOps,SAaS services,yes,Science fiction,Management,smart,no,no,Database Developer
1,7,3,5,no,yes,information security,database security,excellent,good,Management,Cybersecurity,Service Based,no,Science fiction,Management,hard,yes,no,Systems Security Administrator
3,6,8,9,no,yes,testing,system designing,good,poor,Computer Architecture,DevOps,Software Development Firms,yes,Science fiction,Management,hard,no,no,Software Quality Assurance (QA) / Testing
9,8,9,1,yes,no,app development,game development,good,good,networks,Data Science,Testing and Maintainance Services,no,Art,Management,smart,yes,yes,UX Designer
3,3,1,7,no,yes,python,data science,excellent,poor,data engineering,Cybersecurity,Sales and Marketing,yes,Science fiction,Technical,hard,no,yes,CRM Technical Developer
7,7,3,7,no,yes,testing,testing,poor,excellent,Computer Architecture,Data Science,Software Development Firms,yes,Journals,Management,smart,yes,no,Software Quality Assurance (QA) / Testing
5,4,7,9,yes,no,app development,cloud computing,poor,very good,Management,DevOps,IoT Startups,no,Dictionaries,Technical,smart,no,yes,Mobile Applications Developer
10,8,3,7,no,no,information security,hacking,excellent,very good,Software Engineering,Quantum Computing,Data Science Firms,yes,Action and Adventure,Management,hard,no,no,Technical Support
6,1,8,4,no,yes,information security,hacking,medium,good,IOT,Data Science,AI Research Labs,yes,Cookbooks,Technical,hard,no,yes,Technical Support
4,5,4,1,no,yes,hadoop,database security,very good,good,networks,Systems Analysis,Testing and Maintainance Services,no,Comics,Management,hard,no,yes,Database Developer
3,1,8,7,no,yes,app development,cloud computing,poor,very good,Management,Software Development,Software Development Firms,yes,Math,Management,hard,yes,yes,Mobile Applications Developer
6,3,7,9,yes,yes,information security,database security,excellent,poor,IOT,Web Development,Cybersecurity Firms,yes,Travel,Management,hard,no,no,Network Security Engineer
4,7,2,4,no,yes,full stack,system designing,excellent,poor,Software Engineering,Machine Learning,Testing and Maintainance Services,yes,Math,Management,smart,yes,yes,Software Engineer
5,8,8,5,yes,yes,r programming,web technologies,medium,very good,IOT,Big Data Analytics,AI Research Labs,no,Guide,Technical,hard,no,yes,Software Engineer
2,6,7,4,yes,yes,testing,system designing,good,poor,networks,Software Development,Finance,yes,History,Technical,hard,yes,no,Software Quality Assurance (QA) / Testing
7,6,7,8,no,yes,information security,testing,medium,excellent,networks,AI Research,Testing and Maintainance Services,yes,Dictionaries,Technical,hard,no,no,Technical Support
2,7,8,4,yes,yes,information security,hacking,very good,poor,Computer Architecture,Web Development,AI Research Labs,no,Cookbooks,Management,hard,no,no,Technical Support
5,3,9,3,no,no,full stack,web technologies,medium,excellent,parallel computing,Software Development,Product based,no,Horror,Management,hard,yes,yes,Web Developer
3,10,6,6,yes,yes,information security,database security,medium,very good,parallel computing,IoT Solutions,AI Research Labs,yes,Travel,Technical,smart,no,no,Systems Security Administrator
4,1,2,9,yes,no,testing,testing,excellent,good,Management,Big Data Analytics,Data Science Firms,yes,Science,Management,smart,no,yes,Software Quality Assurance (QA) / Testing
2,0,10,1,yes,yes,app development,web technologies,medium,excellent,cloud computing,AI Research,Software Development Firms,no,Comics,Management,smart,yes,yes,Applications Developer
5,0,3,6,yes,no,r programming,web technologies,excellent,poor,IOT,AI Research,Product based,no,Journals,Technical,smart,yes,yes,Software Engineer
5,9,9,1,yes,yes,python,system designing,medium,good,cloud computing,Cybersecurity,Software Development Firms,yes,Art,Technical,smart,no,no,CRM Technical Developer
2,8,8,8,no,yes,app development,game development,very good,excellent,Software Engineering,DevOps,Sales and Marketing,no,Cookbooks,Management,hard,no,no,UX Designer
8,1,4,9,yes,no,information security,database security,poor,excellent,cloud computing,Quantum Computing,Cybersecurity Firms,no,Self help,Management,smart,yes,no,Systems Security Administrator
5,1,4,4,no,no,information security,database security,poor,poor,Software Engineering,Web Development,Cloud Services,yes,Dictionaries,Technical,hard,no,yes,Systems Security Administrator
5,1,9,5,yes,yes,python,system designing,poor,very good,networks,Robotics,AI Research Labs,yes,Journals,Technical,hard,yes,yes,CRM Technical Developer
6,8,10,1,yes,no,r programming,system designing,poor,excellent,Software Engineering,Robotics,Finance,no,Cookbooks,Technical,hard,no,yes,Software Engineer
1,8,1,4,yes,no,app development,game development,excellent,poor,cloud computing,DevOps,Systems Analysis Firms,yes,Biographies,Technical,hard,no,yes,UX Designer
3,3,3,3,no,yes,python,system designing,good,poor,cloud computing,Cloud Computing,Systems Analysis Firms,yes,Art,Technical,smart,no,yes,CRM Technical Developer
9,7,3,1,no,no,app development,web technologies,medium,poor,parallel computing,AI Research,SAaS services,yes,Journals,Technical,hard,yes,yes,Applications Developer
5,8,2,3,yes,no,app development,game development,medium,very good,programming,Cybersecurity,SAaS services,yes,Childrens,Technical,hard,no,yes,UX Designer
7,8,10,3,no,no,full stack,web technologies,good,excellent,data engineering,Cloud Computing,Data Science Firms,yes,Travel,Management,smart,yes,yes,Applications Developer
10,3,1,7,no,yes,app development,game development,excellent,poor,parallel computing,Cloud Computing,BPA,no,Drama,Management,hard,no,no,UX Designer
6,2,9,4,no,yes,information security,testing,poor,very good,Management,Big Data Analytics,Blockchain Technology Firms,no,Travel,Technical,smart,no,no,Technical Support
5,9,6,1,no,yes,information security,database security,good,excellent,IOT,Web Development,product development,no,Cookbooks,Technical,hard,yes,yes,Systems Security Administrator
3,2,8,5,yes,no,information security,testing,very good,very good,networks,Cloud Computing,Testing and Maintainance Services,yes,Cookbooks,Technical,smart,no,yes,Technical Support
5,9,6,10,yes,no,app development,game development,medium,poor,Software Engineering,Machine Learning,Cybersecurity Firms,yes,Dictionaries,Technical,smart,yes,yes,UX Designer
2,6,2,6,yes,no,information security,testing,medium,poor,Management,Robotics,Sales and Marketing,no,Health,Management,smart,no,no,Technical Support
8,6,4,8,yes,no,full stack,cloud computing,excellent,very good,Software Engineering,IoT Solutions,Cloud Services,no,Dictionaries,Management,hard,no,no,Mobile Applications Developer
3,8,4,8,yes,no,testing,testing,poor,good,IOT,Blockchain Development,Finance,yes,Math,Management,hard,yes,yes,Software Quality Assurance (QA) / Testing
1,0,4,6,no,no,full stack,cloud computing,excellent,very good,data engineering,Data Science,BPA,yes,Science fiction,Technical,smart,yes,yes,Mobile Applications Developer
4,5,3,3,yes,yes,testing,testing,excellent,good,cloud computing,Blockchain Development,Data Science Firms,yes,Cookbooks,Technical,hard,yes,yes,Software Quality Assurance (QA) / Testing
9,8,8,5,yes,yes,app development,game development,poor,very good,programming,Big Data Analytics,Software Development Firms,no,Action and Adventure,Management,smart,no,no,UX Designer
8,6,9,10,yes,yes,full stack,system designing,very good,poor,hacking,IoT Solutions,Service Based,no,Action and Adventure,Technical,smart,yes,yes,Software Engineer
1,0,1,8,yes,yes,hadoop,data science,excellent,excellent,programming,Quantum Computing,Big Data Companies,yes,Math,Management,hard,yes,yes,Database Developer
1,1,8,1,no,yes,shell programming,database security,medium,good,IOT,Software Development,Product based,yes,Biographies,Management,hard,no,no,Database Developer
8,4,7,9,no,no,testing,testing,excellent,good,Software Engineering,Cybersecurity,BPA,yes,Journals,Management,smart,yes,yes,Software Quality Assurance (QA) / Testing
10,7,7,4,yes,no,hadoop,database security,very good,very good,Software Engineering,Systems Analysis,Service Based,yes,Guide,Technical,hard,yes,no,Database Developer
7,0,5,8,yes,no,python,data science,good,poor,programming,DevOps,Blockchain Technology Firms,yes,Action and Adventure,Management,hard,no,yes,CRM Technical Developer
2,9,6,9,no,yes,full stack,web technologies,medium,good,cloud computing,Cybersecurity,Cloud Services,no,Science,Technical,hard,no,no,Web Developer
2,4,6,1,no,yes,full stack,cloud computing,medium,poor,IOT,AI Research,AI Research Labs,no,Travel,Management,smart,yes,yes,Applications Developer
5,9,2,3,yes,yes,python,data science,good,good,cloud computing,Cloud Computing,Service Based,no,Health,Technical,smart,no,no,CRM Technical Developer
1,7,7,9,no,no,app development,cloud computing,very good,very good,Computer Architecture,Software Development,Cloud Services,no,Autobiographies,Technical,hard,no,no,Applications Developer
8,6,4,7,no,no,full stack,web technologies,very good,good,Software Engineering,Data Science,Systems Analysis Firms,no,Action and Adventure,Management,hard,yes,no,Applications Developer
10,10,2,10,no,no,full stack,web technologies,excellent,very good,networks,DevOps,Testing and Maintainance Services,no,Dictionaries,Technical,hard,no,no,Web Developer
2,0,8,5,yes,no,python,system designing,very good,poor,Management,Cloud Computing,Systems Analysis Firms,no,Travel,Technical,smart,no,no,Software Developer
4,4,6,6,yes,no,information security,testing,very good,good,hacking,Systems Analysis,AI Research Labs,yes,Horror,Technical,smart,yes,no,Technical Support
6,3,2,6,no,no,information security,database security,medium,very good,parallel computing,Software Development,Sales and Marketing,yes,Drama,Management,hard,yes,no,Network Security Engineer
8,6,4,3,no,no,python,system designing,good,poor,IOT,DevOps,Testing and Maintainance Services,no,Cookbooks,Management,smart,no,no,CRM Technical Developer
1,5,3,10,yes,no,full stack,cloud computing,good,excellent,networks,Software Development,Product based,no,Self help,Technical,hard,yes,yes,Mobile Applications Developer
10,7,1,6,no,no,information security,hacking,good,poor,Software Engineering,Data Science,product development,no,Autobiographies,Technical,hard,no,no,Technical Support
7,2,6,5,no,no,full stack,web technologies,medium,very good,IOT,DevOps,Cybersecurity Firms,yes,Self help,Management,hard,yes,yes,Applications Developer
7,2,10,2,no,no,full stack,web technologies,poor,excellent,IOT,Cybersecurity,Blockchain Technology Firms,no,Journals,Management,smart,no,yes,Web Developer
2,10,1,3,no,no,app development,game development,poor,good,networks,Robotics,Service Based,yes,Poetry,Technical,smart,yes,yes,UX Designer
8,3,9,3,no,no,app development,cloud computing,excellent,poor,hacking,Systems Analysis,AI Research Labs,yes,Comics,Management,hard,no,no,UX Designer
3,0,9,8,yes,yes,information security,database security,medium,excellent,programming,Web Development,Systems Analysis Firms,yes,Biographies,Management,hard,no,yes,Network Security Engineer
4,9,2,5,yes,yes,full stack,web technologies,very good,good,parallel computing,IoT Solutions,Systems Analysis Firms,yes,Mystery,Management,hard,yes,yes,Software Developer
6,2,8,2,no,yes,testing,system designing,poor,poor,networks,Cybersecurity,product development,no,Travel,Technical,hard,no,no,Software Quality Assurance (QA) / Testing
3,10,1,3,yes,yes,information security,database security,medium,excellent,parallel computing,Quantum Computing,Software Development Firms,no,Self help,Technical,smart,no,yes,Systems Security Administrator
6,8,9,3,no,yes,app development,cloud computing,poor,poor,data engineering,Software Development,Big Data Companies,no,Health,Technical,hard,yes,yes,Mobile Applications Developer
3,7,7,10,yes,yes,app development,game development,good,excellent,data engineering,Web Development,IoT Startups,yes,Travel,Technical,hard,yes,yes,UX Designer
3,4,3,2,yes,yes,testing,testing,poor,good,networks,Data Science,Web Services,no,Art,Management,hard,no,yes,Software Quality Assurance (QA) / Testing
5,10,4,8,yes,no,python,data science,very good,poor,cloud computing,Quantum Computing,Systems Analysis Firms,no,Poetry,Technical,smart,yes,no,CRM Technical Developer
7,7,9,9,yes,yes,information security,database security,excellent,good,IOT,Quantum Computing,Product based,yes,Drama,Technical,hard,yes,no,Network Security Engineer
9,7,5,8,yes,yes,testing,testing,good,excellent,programming,Quantum Computing,Sales and Marketing,yes,Guide,Management,hard,no,no,Software Quality Assurance (QA) / Testing
10,2,7,7,yes,no,full stack,web technologies,very good,excellent,Computer Architecture,Robotics,Web Services,no,Series,Management,smart,no,yes,Software Developer
3,0,2,7,no,yes,testing,system designing,good,good,Management,Cloud Computing,Product based,yes,Action and Adventure,Technical,smart,no,yes,Software Quality Assurance (QA) / Testing
8,3,5,3,no,yes,python,data science,very good,poor,programming,Cybersecurity,Systems Analysis Firms,no,Autobiographies,Technical,smart,yes,no,CRM Technical Developer
8,9,3,7,no,yes,information security,database security,medium,very good,Software Engineering,Quantum Computing,Blockchain Technology Firms,yes,Health,Technical,smart,yes,no,Systems Security Administrator
6,5,7,2,yes,no,app development,game development,good,good,cloud computing,Cloud Computing,Systems Analysis Firms,no,Poetry,Management,hard,no,no,UX Designer
8,5,4,4,yes,yes,app development,cloud computing,medium,poor,parallel computing,AI Research,Blockchain Technology Firms,yes,Mystery,Technical,hard,yes,yes,UX Designer
7,1,7,1,yes,yes,information security,testing,medium,excellent,parallel computing,Software Development,product development,no,Journals,Management,hard,yes,yes,Technical Support
2,9,1,6,yes,no,hadoop,database security,excellent,good,IOT,Data Science,Systems Analysis Firms,no,Math,Management,hard,yes,yes,Database Developer
10,4,4,6,no,no,full stack,web technologies,excellent,good,programming,Web Development,Big Data Companies,yes,Guide,Technical,hard,yes,yes,Web Developer
8,9,2,5,yes,yes,information security,database security,excellent,poor,cloud computing,Blockchain Development,Cybersecurity Firms,yes,Childrens,Technical,smart,no,yes,Network Security Engineer
3,8,5,1,no,no,testing,testing,medium,poor,cloud computing,IoT Solutions,Software Development Firms,no,Drama,Management,hard,no,yes,Software Quality Assurance (QA) / Testing
3,7,6,1,yes,yes,information security,database security,poor,very good,IOT,Blockchain Development,Finance,yes,Science fiction,Technical,smart,yes,no,Network Security Engineer
6,1,5,5,yes,no,information security,database security,poor,very good,parallel computing,IoT Solutions,product development,yes,Poetry,Technical,hard,no,no,Systems Security Administrator
2,9,8,3,yes,no,information security,testing,good,excellent,hacking,Robotics,Testing and Maintainance Services,no,Art,Management,hard,yes,no,Technical Support
10,2,8,7,no,no,information security,hacking,good,good,Computer Architecture,AI Research,Testing and Maintainance Services,no,Cookbooks,Technical,hard,no,yes,Technical Support
9,9,6,4,yes,no,testing,system designing,medium,excellent,parallel computing,Software Development,product development,yes,History,Management,smart,yes,yes,Software Quality Assurance (QA) / Testing
7,2,3,8,yes,no,information security,database security,excellent,excellent,cloud computing,Data Science,Service Based,yes,Health,Management,hard,yes,no,Network Security Engineer
10,6,8,3,yes,no,information security,database security,medium,excellent,parallel computing,Cloud Computing,Sales and Marketing,no,Mystery,Technical,smart,no,yes,Systems Security Administrator
2,2,9,3,no,yes,full stack,web technologies,good,very good,Computer Architecture,Systems Analysis,Service Based,no,Action and Adventure,Management,hard,no,no,Software Engineer
5,8,1,6,yes,yes,information security,database security,very good,very good,parallel computing,Quantum Computing,Blockchain Technology Firms,yes,Travel,Management,smart,no,yes,Systems Security Administrator
10,7,4,5,yes,yes,app development,game development,excellent,excellent,networks,Software Development,Software Development Firms,no,Series,Technical,smart,no,yes,UX Designer
6,6,7,1,no,yes,full stack,web technologies,poor,poor,data engineering,AI Research,product development,no,Dictionaries,Management,smart,no,yes,Software Engineer
5,10,9,1,no,no,full stack,web technologies,very good,excellent,parallel computing,Software Development,Systems Analysis Firms,no,Biographies,Technical,smart,no,no,Web Developer
6,1,5,10,no,no,app development,game development,good,good,Computer Architecture,Data Science,Web Services,yes,Action and Adventure,Technical,smart,no,yes,Mobile Applications Developer
10,7,9,6,no,yes,testing,testing,excellent,excellent,Software Engineering,Software Development,AI Research Labs,yes,Art,Management,hard,no,yes,Software Quality Assurance (QA) / Testing
9,5,5,4,no,no,app development,cloud computing,medium,poor,IOT,Systems Analysis,IoT Startups,no,Horror,Technical,smart,yes,yes,Mobile Applications Developer
10,3,2,2,no,no,app development,cloud computing,medium,excellent,Software Engineering,Robotics,SAaS services,yes,Science fiction,Technical,smart,yes,yes,UX Designer
2,1,4,8,yes,yes,testing,testing,very good,very good,parallel computing,DevOps,BPA,yes,Poetry,Technical,smart,no,yes,Software Quality Assurance (QA) / Testing
9,0,6,10,no,yes,app development,cloud computing,excellent,poor,programming,Blockchain Development,SAaS services,no,Health,Management,hard,yes,yes,Applications Developer
3,1,3,8,yes,yes,full stack,cloud computing,good,very good,Software Engineering,Blockchain Development,AI Research Labs,no,Poetry,Technical,smart,no,no,Mobile Applications Developer
7,0,10,5,no,yes,information security,hacking,medium,excellent,Computer Architecture,Software Development,Cybersecurity Firms,no,Autobiographies,Management,smart,yes,yes,Technical Support
8,1,9,8,no,no,python,system designing,excellent,very good,hacking,Robotics,Software Development Firms,yes,Science fiction,Technical,smart,no,no,CRM Technical Developer
10,7,1,10,yes,yes,information security,database security,excellent,poor,Computer Architecture,Quantum Computing,product development,yes,Travel,Management,smart,no,no,Systems Security Administrator
6,0,9,3,yes,no,python,web technologies,poor,good,hacking,Big Data Analytics,Sales and Marketing,no,Science,Technical,smart,no,no,Software Developer
8,9,8,6,no,yes,information security,database security,excellent,very good,data engineering,IoT Solutions,SAaS services,no,Science fiction,Management,smart,no,no,Network Security Engineer
4,0,8,6,no,yes,information security,database security,good,good,Software Engineering,IoT Solutions,product development,no,Guide,Technical,hard,no,yes,Network Security Engineer
1,0,5,5,yes,no,full stack,cloud computing,medium,poor,Computer Architecture,IoT Solutions,Data Science Firms,yes,Comics,Technical,smart,no,yes,Mobile Applications Developer
9,2,4,1,no,no,hadoop,database security,good,good,Software Engineering,Cybersecurity,IoT Startups,no,Mystery,Management,smart,no,yes,Database Developer
4,0,9,7,no,no,information security,database security,medium,poor,hacking,Web Development,AI Research Labs,no,Horror,Management,hard,no,yes,Systems Security Administrator
1,1,5,5,no,yes,information security,database security,excellent,poor,programming,Robotics,BPA,no,Science,Management,hard,no,yes,Network Security Engineer
1,6,10,5,yes,yes,information security,database security,excellent,poor,networks,Data Science,product development,no,Health,Technical,hard,no,yes,Network Security Engineer
5,2,10,4,yes,yes,testing,testing,good,good,Management,Robotics,SAaS services,no,Self help,Management,hard,yes,no,Software Quality Assurance (QA) / Testing
6,5,4,3,no,no,full stack,game development,excellent,very good,IOT,Machine Learning,Data Science Firms,no,History,Management,smart,yes,no,Mobile Applications Developer
8,6,2,2,no,no,full stack,web technologies,medium,very good,hacking,Web Development,Data Science Firms,yes,Travel,Management,smart,yes,no,Applications Developer
3,4,9,7,no,no,full stack,web technologies,poor,very good,networks,Quantum Computing,product development,no,Poetry,Technical,hard,no,yes,Software Engineer
7,4,10,4,no,yes,information security,hacking,medium,poor,Computer Architecture,AI Research,SAaS services,yes,Mystery,Management,hard,yes,no,Technical Support
7,6,3,10,yes,no,full stack,cloud computing,poor,good,hacking,Big Data Analytics,Finance,yes,Math,Technical,hard,no,yes,Applications Developer
10,7,3,1,no,no,testing,testing,very good,good,Computer Architecture,Quantum Computing,Product based,no,Math,Management,hard,no,yes,Software Quality Assurance (QA) / Testing
4,9,3,7,yes,no,testing,testing,very good,poor,hacking,Systems Analysis,Cloud Services,yes,Science fiction,Technical,smart,no,yes,Software Quality Assurance (QA) / Testing
7,2,1,2,yes,no,python,system designing,very good,very good,Computer Architecture,Big Data Analytics,Cybersecurity Firms,yes,Series,Management,hard,no,no,Software Developer
8,2,3,8,yes,yes,information security,database security,excellent,good,parallel computing,Blockchain Development,Software Development Firms,no,Action and Adventure,Technical,hard,no,no,Network Security Engineer
7,10,2,9,yes,no,python,web technologies,excellent,very good,data engineering,Robotics,Software Development Firms,yes,Math,Management,smart,no,yes,Software Developer
7,1,9,8,yes,no,information security,database security,very good,excellent,data engineering,Systems Analysis,Cloud Services,no,Science,Technical,smart,no,yes,Systems Security Administrator
3,1,3,5,yes,yes,full stack,cloud computing,medium,very good,networks,DevOps,BPA,no,Dictionaries,Technical,hard,yes,no,Applications Developer
4,10,8,8,yes,no,app development,cloud computing,medium,good,Management,Software Development,Finance,no,Childrens,Management,hard,no,yes,Mobile Applications Developer
3,8,4,8,yes,yes,information security,database security,excellent,excellent,Computer Architecture,Cloud Computing,product development,yes,Travel,Technical,smart,yes,no,Network Security Engineer
9,5,10,6,yes,yes,shell programming,database security,good,very good,programming,Software Development,Cloud Services,no,Science fiction,Technical,smart,yes,yes,Database Developer
6,8,3,1,yes,no,hadoop,data science,excellent,very good,networks,Web Development,BPA,no,Health,Technical,smart,no,no,Database Developer
8,1,1,2,no,yes,full stack,cloud computing,medium,good,Computer Architecture,Quantum Computing,Product based,no,Fantasy,Management,smart,no,yes,Mobile Applications Developer
3,7,10,7,no,yes,information security,database security,excellent,poor,data engineering,DevOps,product development,no,Travel,Management,smart,yes,no,Network Security Engineer
5,4,4,7,no,no,full stack,web technologies,medium,excellent,Computer Architecture,IoT Solutions,Cloud Services,no,Cookbooks,Management,hard,no,no,Applications Developer
5,4,4,8,no,yes,information security,database security,poor,poor,networks,Cybersecurity,IoT Startups,no,Horror,Technical,hard,no,yes,Systems Security Administrator
8,7,5,8,yes,no,app development,cloud computing,medium,poor,IOT,DevOps,Blockchain Technology Firms,no,Health,Technical,hard,no,yes,UX Designer
5,10,7,5,yes,yes,information security,database security,poor,poor,IOT,Data Science,Systems Analysis Firms,yes,Mystery,Management,smart,yes,yes,Systems Security Administrator
9,8,1,4,no,yes,r programming,web technologies,poor,good,data engineering,IoT Solutions,Service Based,no,Journals,Management,hard,no,no,Software Engineer
1,4,2,7,yes,no,full stack,web technologies,good,good,Computer Architecture,Robotics,Software Development Firms,no,Fantasy,Technical,smart,no,yes,Web Developer
10,10,5,8,yes,yes,python,system designing,very good,poor,Software Engineering,Web Development,Finance,yes,Travel,Management,smart,yes,no,Software Developer
